en,ka
Abasha,აბაშა
Abkhazia,აფხაზეთი
Adigeni,ადიგენი
Adjara,აჭარა
Akhalgori,ახალგორი
Akhalkalaki,ახალქალაქი
Akhaltsikhe,ახალციხე
Akhmeta,ახმეტა
Ambrolauri,ამბროლაური
Aspindza,ასპინძა
Bagdati,ბაღდათი
Batumi,ბათუმი
Bolnisi,ბოლნისი
Borjomi,ბორჯომი
Chiatura,ჭიათურა
Chkhorotsku,ჩხოროწყუ
Chokhatauri,ჩოხატაური
Chugureti,ჩუღურეთი
Dedoplistskaro,დედოფლისწყარო
Didube,დიდუბე
Dmanisi,დმანისი
Dusheti,დუშეთი
Gagra,გაგრა
Gali,გალი
Gardabani,გარდაბანი
Gldani,გლდანი
Gori,გორი
Gudauta,გუდაუთა
Gulripshi,გულრიფში
Guria,გურია
Gurjaani,გურჯაანი
Imereti,იმერეთი
Isani,ისანი
Java,ჯავა
Kakheti,კახეთი
Kareli,ქარელი
Kaspi,კასპი
Kazbegi,ყაზბეგი
Keda,ქედა
Kharagauli,ხარაგაული
Khashuri,ხაშური
Khelvachauri,ხელვაჩაური
Khobi,ხობი
Khoni,ხონი
Khulo,ხულო
Kobuleti,ქობულეთი
Krtsanisi,კრწანისი
Kurta,ქურთა
Kurta (Liakhvi),ქურთა (ლიახვი)
Kutaisi,ქუთაისი
Kvareli,ყვარელი
Kvemo Kartli,ქვემო ქართლი
Lagodekhi,ლაგოდეხი
Lanchkhuti,ლანჩხუთი
Lentekhi,ლენტეხი
Marneuli,მარნეული
Martvili,მარტვილი
Mckheta-Mtianeti,მცხეთა-მთიანეთი
Mtskheta-Mtianeti,მცხეთა-მთიანეთი
Mestia,მესტია
Mtatsminda,მთაწმინდა
Mtskheta,მცხეთა
Nadzaladevi,ნაძალადევი
Ninotsminda,ნინოწმინდა
Ochamchire,ოჩამჩირე
Oni,ონი
Ozurgeti,ოზურგეთი
Poti,ფოთი
Racha-Lechkumi and Kvemo Svaneti,რაჭა-ლეჩხუმი და ქვემო სვანეთი
Racha-Lechkhumi and Kvemo Svaneti,რაჭა-ლეჩხუმი და ქვემო სვანეთი
Rustavi,რუსთავი
Saburtalo,საბურთალო
Sachkhere,საჩხერე
Sagarejo,საგარეჯო
Samckhe-Djavakheti,სამცხე-ჯავახეთი
Samtskhe-Javakheti,სამცხე-ჯავახეთი
Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი
Samgori,სამგორი
Samtredia,სამტრედია
Senaki,სენაკი
Shida Kartli,შიდა ქართლი
Shuakhevi,შუახევი
Signagi,სიღნაღი
Sokhumi,სოხუმი
Tbilisi,თბილისი
Telavi,თელავი
Terjola,თერჯოლა
Tetritskaro,თეთრიწყარო
Tianeti,თიანეთი
Tkibuli,ტყიბული
Tsageri,ცაგერი
Tsalendjikha,წალენჯიხა
Tsalka,წალკა
Tskaltubo,წყალტუბო
Vake,ვაკე
Vani,ვანი
Zemo Apkhazeti,ზემო აფხაზეთი
Zestaponi,ზესტაფონი
Zastaponi,ზესტაფონი
Zugdidi,ზესტაფონი
Georgia,საქართველო
